Country,StAbb,Year,Democracy,Pres,Notes,LeaderIdeologyScore,PresSecond,RunnerUpIdeologyScore,PresVotes,PresSecondVotes,PresOtherVotes,PresWarRole,PresPower,PresWinner,PresRunnerUp,WinnerIncumbent,RunnerUpIncumbent,WinnerPartyInc,RunnerUpPartyInc,Leg1,Leg1Second,Leg1Seats,Leg1SecondSeats,Leg1OtherSeats,Leg1Control,Leg1DeclareWar,Leg1Power,Leg2,Leg2Second,Leg2Seats,Leg2SecondSeats,Leg2OtherSeats,Leg2Control,Leg2DeclareWar,Leg2Power,PrevUnited,ElectionDate,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,LeaderStartDay,LeaderStartMonth,LeaderStartYear,LeaderEndDay,LeaderEndMonth,LeaderEndYear,PreviousLeaderStartDay,PreviousLeaderStartMonth,PreviousLeaderStartYear,PreviousLeaderEndDay,PreviousLeaderEndMonth,PreviousLeaderEndYear,PresBirthYear,PresMilitaryService,PresMilitaryExperience,PresGuerrillaWar,PresRunnerUpDOBm,PresRunnerUpDOBd,RunnerUpBirthYear,PresRunnerUPSource,RunnerUpMilitaryService,RunnerUpMilitaryExperience,RunnerUpLaw,RunnerUpArt,RunnerUpOccupation,AgeDifference,StartDate,EndDate,Days,PreviousDate,DisputesInitiated,PreviousDisputesInitiated,PreviousTermDisputesInitiated,HighDisputesInitiated,PreviousHighDisputesInitiated,PreviousTermHighDisputesInitiated,AllDisputes,AllPreviousDisputes,AllPreviousTermDisputes,AllHighDisputes,AllPreviousHighDisputes,AllPreviousTermHighDisputes,RevisionistDisputes,PreviousRevisionistDisputes,PreviousTermRevisionistDisputes,HighRevisionistDisputes,PreviousHighRevisionistDisputes,PreviousTermHighRevisionistDisputes,FYDisputesInitiated,FYHighDisputesInitiated,FYAllDisputes,FYAllHighDisputes,PreviousTermStartDate,PreviousTermEndDate,PreviousTermDays,irst,milex,milper,pec,tpop,upop,lnirst,lnmilex,lnmilper,lnpec,lntpop,lnupop
Afghanistan,AFG,2009,0,Independent,,NA,United National Front,3,49.63,30.59,19.78,1,1,Hamid Karzai,Abdullah Abdullah,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,,20,9,2009,31,12,2010,20,9,2009,31,12,2010,7,12,2004,20,9,2009,1957,0,0,NA,9,5,1960,Wiki,0,0,0,0,"pharmacist, politician ",3,9/20/2009,12/31/2010,467,6/10/2008,0,0,0.417620137,0,0,0.417620137,0.781584582,0.781584582,1.252860412,0.781584582,0.781584582,1.252860412,0,0,0.417620137,0,0,0.208810069,0,0,0,0,12/7/2004,9/20/2009,1748,0,153000,50,725.6503,22488,5456,NA,11.9381932,3.912023005,6.587068218,10.02073711,8.6044712
Angola,ANG,1992,0,Peoples Movement for the Liberation of Angola,,2,National Union of the Total Independence of Angola,4,49.57,40.07,10.36,1,1,Jose Eduardo dos Santos,Jonas Savimbi,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,,30,10,1992,1,1,1996,27,8,1992,1,1,1996,10,9,1979,27,8,1992,1942,0,0,NA,8,3,1934,Wiki,1,1,0,0,"guerilla fighter, comander, politician ",-8,8/27/1992,1/1/1996,1222,4/23/1989,0.298690671,0,0.077085533,0.298690671,0,0.077085533,0.298690671,0,0.077085533,0.298690671,0,0.077085533,0,0,0,0,0,0,0,0,0,0,9/10/1979,8/27/1992,4735,10,-9,128,10819.23,10609,1751,2.302585093,NA,4.852030264,9.289080385,9.269457976,7.467942332
Austria,AUS,1951,1,SPO,,2,OVP,4,52.06,47.94,0,1,1,Theodor Korner,Heinrich Gleibner,0,0,1,0,OVP,SPO,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,5/27/1951,21,6,1951,22,3,1953,21,6,1951,4,1,1957,20,12,1945,31,12,1950,1873,1,1,NA,1,26,1893,Wiki,1,0,1,0,"lawyer, politician ",20,6/21/1951,1/4/1957,2024,12/5/1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/1945,12/31/1950,1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,AUS,1957,1,SPO,,2,OVP,4,51.1,48.9,0,1,1,Adolf Scharf,Wolfgang Denk,0,0,1,0,OVP,SPO,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,0,5/5/1957,4,1,1957,10,6,1959,22,5,1957,22,5,1963,21,6,1951,4,1,1957,1890,1,1,NA,NA,NA,1882,World Biographical Information Systems,NA,NA,0,0,"physician, politician ",-8,5/22/1957,5/22/1963,2191,5/23/1951,0.333181196,0,0,0,0,0,0.333181196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/21/1951,1/4/1957,2024,2509,65923,23,11465,6966,2273,7.827639546,11.09624267,3.135494216,9.347054195,8.848796451,7.728855824
Austria,AUS,1963,1,SPO,,2,OVP,4,55.4,40.6,4,1,1,Adolf Scharf,Julius Raab,1,0,1,0,OVP,SPO,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,0,4/28/1963,22,5,1963,9,6,1965,22,5,1963,28,2,1965,22,5,1957,22,5,1963,1890,1,1,NA,11,29,1891,Wiki,1,1,0,0,civil engineer ,1,5/22/1963,2/28/1965,648,8/12/1961,0,0,0.333181196,0,0,0,0,0,0.333181196,0,0,0,0,0,0,0,0,0,0,0,0,0,5/22/1957,5/22/1963,2191,2947,100851,75,13994,7176,2297,7.988542983,11.52139946,4.317488114,9.546383945,8.878497404,7.739359203
Austria,AUS,1965,1,SPO,,2,OVP,4,50.7,49.3,0,1,1,Franz Jonas,Alfons Gorbach,0,1,1,0,OVP,SPO,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,0,5/23/1965,9,6,1965,6,4,1966,9,6,1965,9,6,1971,22,5,1963,28,2,1965,1899,1,1,NA,9,2,1898,Wiki,1,1,1,0,"lawyer, politician ",-1,6/9/1965,6/9/1971,2191,6/10/1959,0,0.333181196,0,0,0,0,0,0.333181196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/22/1963,2/28/1965,648,3221,114302,55,13880,7271,2326,8.077447149,11.64659935,4.007333185,9.538204234,8.891649113,7.751905333
Austria,AUS,1971,1,SPO,,2,OVP,4,52.8,47.2,0,1,1,Franz Jonas,Kurt Waldheim,1,0,1,1,SPO,OVP,93,80,10,SPO,1,1,NA,NA,NA,NA,NA,NA,0,0,0,10/10/1971,9,6,1971,8,7,1974,9,6,1971,24,4,1974,9,6,1965,9,6,1971,1899,1,1,NA,12,21,1918,Wiki,1,1,1,0,lawyer,19,6/9/1971,4/24/1974,1050,7/24/1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/1965,6/9/1971,2191,3960,172276,60,26335.07,7500,2310,8.283999304,12.05685312,4.094344562,10.17865679,8.9226583,7.745002804
Austria,AUS,1974,1,Ind,,2,OVP,4,51.7,48.3,0,1,1,Rudolf Kirchschlager,Alois Lugger,0,0,0,0,SPO,OVP,NA,NA,NA,SPO,1,1,NA,NA,NA,NA,NA,NA,0,0,1,6/23/1974,8,7,1974,5,11,1975,8,7,1974,8,7,1980,9,6,1971,8,7,1974,1915,1,1,NA,7,11,1912,Wiki,0,0,1,0,"lawyer, politician ",-3,7/8/1974,7/8/1980,2192,7/7/1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/1971,7/8/1974,1125,4699,351210,60,30568.16,7599,2322,8.455104999,12.76913961,4.094344562,10.32771422,8.935771939,7.750184162
Austria,AUS,1986,1,Ind,,4,SPO,2,53.9,46.1,0,1,1,Kurt Waldheim,Kurt Steyrer,0,0,0,1,SPO,OVP,80,77,26,None,1,1,NA,NA,NA,NA,NA,NA,0,0,0,11/23/1986,23,12,1986,7,11,1990,8,7,1986,8,7,1992,8,7,1980,8,7,1986,1918,1,1,NA,6,3,1920,Wiki,0,0,0,0,doctor ,2,7/8/1986,7/8/1992,2192,7/7/1980,0,0,0,0,0,0,0.166514599,0,0,0,0,0,0.166514599,0,0,0,0,0,0,0,0,0,7/8/1980,7/8/1986,2191,4292,1230000,39,51714.46,7588,2292,8.364508104,14.02252473,3.663561646,10.85349271,8.934323331,7.737180078
Austria,AUS,1992,1,Ind,,4,SPO,2,56.9,41.1,0,1,1,Thomas Klestil,Rudolf Streicher,0,0,0,0,SPO,OVP,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,0,5/24/1992,8,8,1992,9,11,1994,8,7,1992,8,7,1998,8,7,1986,8,7,1992,1932,0,0,NA,1,19,1939,Wiki,0,0,0,1,"president of orchestra, politician ",7,7/8/1992,7/8/1998,2191,7/9/1986,0,0,0,0,0,0,0,0.166590598,0.166514599,0,0,0,0,0.166590598,0.166514599,0,0,0,0,0,0,0,7/8/1986,7/8/1992,2192,3936,1660000,52,51444.36,7914,2261,8.277920258,14.32232816,3.951243719,10.84825611,8.976388622,7.723562472
Austria,AUS,2004,1,SPO,,2,OVP,4,52.4,47.8,0,1,1,Heinz Fischer,Benita Ferrero-Warner,0,0,0,1,OVP,SPO,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,0,4/25/2004,8,8,2004,1,11,2006,8,7,2004,8,7,2010,8,7,1998,6,7,2004,1938,0,0,NA,9,5,1948,Wiki,0,0,1,0,"lawyer, politician ",10,7/8/2004,7/8/2010,2191,7/9/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/8/1998,7/6/2004,2190,6530,2250000,37,75509.98,8175,2384,8.784162222,14.62644077,3.610917913,11.23202011,9.008835996,7.776535028
Benin,BEN,1970,1,Democratic Party,,NA,Dahomeyan Progressive Union,1,36.6,32.3,31.1,1,1,Justin Ahomadegbe-Tometin,Sourou-Migan Apithy,0,0,0,0,None,None,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,,7,5,1972,26,10,1972,7,5,1972,26,10,1972,7,5,1970,7,5,1972,1917,1,1,NA,4,8,1913,Wiki,0,0,0,0,"accountant, politician ",-4,5/7/1972,10/26/1972,172,11/17/1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/7/1970,5/7/1972,731,0,4321,2,945.0153,2718,192,NA,8.371242136,0.693147181,6.851201118,7.907651595,5.257495372
Benin,BEN,1996,1,Ind,,NA,RPB,2,52.5,47.5,0,1,1,Nicephore Soglo,Mathieu Kerekou,0,1,0,1,BRP,DRP,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,0,3/18/1996,6,4,1996,30,4,1999,4,4,1996,5,4,2001,4,4,1991,4,4,1996,1934,0,0,NA,9,2,1933,Wiki,1,0,0,0,"politician,  ",-1,4/4/1996,4/5/2001,1827,4/4/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/4/1991,4/4/1996,1827,0,27000,8,2208.061,5594,981,NA,10.20359214,2.079441542,7.699870034,8.629449874,6.88857246
Bolivia,BOL,1934,0,Genuine Republican Party,,NA,Liberal Party,1,59.2,40.8,0,1,1,Franz Tamayo Solares,Juan Maria Zalles,0,0,1,0,Genuine Republican Party,Liberal Party,NA,NA,NA,Genuine Republican Party,1,1,Liberal Party,Genuine Republican Party,NA,NA,NA,Liberal Party,1,1,NA,,11,12,1934,13,4,1938,28,11,1934,17,5,1936,NA,NA,NA,28,11,1934,1879,0,0,NA,3,25,1879,http://www.rree.gob.bo/webmre/listacancilleres/canciller.aspx?imagen=Juan%20Maria%20Zalles%20C..JPG&texto=JUAN%20MARIA%20ZALLES%20CALDERON.txt,0,0,0,1,"Poet, Journalist, Politician ",0,11/28/1934,5/17/1936,536,6/10/1933,0.680970149,0,NA,0,0,NA,1.361940299,0,NA,0,0,NA,1.361940299,0,NA,0,0,0.011767809,1,0,1,0,NA,11/28/1934,341185,0,26826,23,29,2510,186,NA,10.19712685,3.135494216,3.36729583,7.828038032,5.225746674
Bolivia,BOL,1947,0,Revolutionary Socialist Unity Party,Party is Republican Socialist Unity Party,4,Liberal Party,1,47.2,46.8,6,1,1,Enrique Hertzog Garaizabal,Luis Fernando Guachalla,0,0,0,0,Revolutionary Socialist Unity Party,Revolutionary Left Party,45,36,30,None,1,1,Revolutionary Socialist Unity Party,Liberal Party,14,7,7,Revolutionary Socialist Unity Party,1,1,0,,5,2,1947,6,6,1951,10,3,1947,22,10,1949,NA,NA,NA,10,3,1947,1896,0,0,NA,NA,NA,1899,http://www.andesacd.org/luis-fernando-guachalla/,0,1,1,0,"lawyer, internationalist, writer, journalist ",3,3/10/1947,10/22/1949,957,7/26/1944,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.014782885,0,0,0,0,NA,3/10/1947,345670,0,4642,9,88,2920,315,NA,8.442900587,2.197224577,4.477336814,7.979338895,5.752572639
Brazil,BRA,1891,0,Ind,,NA,Ind,5,129,97,6,1,1,Deodoro da Fonseca,Prudente de Morais,1,0,1,0,Missing,Missing2,NA,NA,NA,None,1,1,Missing,Missing2,NA,NA,NA,None,1,1,NA,,26,2,1891,1,4,1894,26,2,1891,23,11,1891,NA,NA,NA,26,2,1891,1823,1,1,NA,10,4,1841,Wiki,0,0,1,0,"lawyer, politician ",18,1891-02-26,1891-11-23,270,1890-06-01,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.005611845,0,0,0,0,NA,1891-02-26,325205,0,-9,39,537,14506,974,NA,NA,3.663561646,6.285998095,9.582317636,6.881411304
Brazil,BRA,1922,0,Mineiro Republican Party,,NA,Republican Reaction,5,56,38.1,5.9,1,1,Artur Bernardes,Nilo Pecanha,0,0,0,0,Missing,Missing2,NA,NA,NA,None,1,1,Missing,Missing2,NA,NA,NA,None,1,1,NA,,1,4,1922,1,4,1926,15,11,1922,14,11,1926,NA,NA,NA,15,11,1922,1875,0,0,NA,10,2,1867,Wiki,0,0,1,0,"lawyer, teacher, politician ",-8,11/15/1922,11/14/1926,1460,11/16/1918,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.006502588,0,0,0,0,NA,11/15/1922,336789,0,62111,53,2015,28542,2719,NA,11.03667839,3.970291914,7.608374474,10.25913197,7.908019445
Brazil,BRA,1930,0,Republican Party of Sao Paulo,,NA,Liberal Alliance,2,57.7,39.2,3.1,1,1,Julio Prestes,Getulio Vargas,0,0,1,0,Missing,Missing2,NA,NA,NA,None,1,1,Missing,Missing2,NA,NA,NA,None,1,1,NA,,1,4,1930,17,8,1934,1,1,1930,1,1,1930,NA,NA,NA,1,1,1930,1882,0,0,1,4,19,1882,Wiki,1,0,1,0,"lawyer, statesman ",0,1/1/1930,1/1/1930,0,1/1/1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006452696,0,0,0,0,NA,1/1/1930,339393,21,54335,57,3330,33568,3205,3.044522438,10.90292387,4.043051268,8.110727583,10.42132851,8.072467369
Brazil,BRA,1950,0,Brazilian Labour Party,,NA,National Democratic Union,5,48.7,29.7,21.6,1,1,Getulio Vargas,Eduardo Gomes,0,0,0,0,Social Democratic Party,National Democratic Union,112,81,111,None,1,1,Social Democratic Party,Brazilian Labour Party,6,5,11,None,1,1,NA,,3,11,1950,3,11,1954,31,1,1951,24,8,1954,NA,NA,NA,31,1,1951,1883,1,0,NA,9,20,1896,Wiki,1,0,0,0,"military officer,  politician ",13,1/31/1951,8/24/1954,1301,7/10/1947,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.006309548,0,0,0,0,NA,1/31/1951,347093,789,336538,231,2528,51944,6873,6.670766321,12.72646635,5.442417711,7.835183755,10.85792149,8.835355971
